customerID,SharedDriverContribution,PrimaryLever,SecondaryLever,PrimaryLeverContribution,SHAP_Service_quality,SHAP_Billing_and_payment,SHAP_Protection_and_support,SHAP_Engagement_and_bundling,SHAP_Price_and_plan_fit
7310-EGVHZ,0.6056599,Protection and support,Price and plan fit,0.08555026,-0.6683219,-0.3071895,0.08555026,-0.16958769,0.026414722
3413-BMNZE,0.59662735,Price and plan fit,Protection and support,0.12663569,-0.22507533,-0.30229956,0.120650746,-0.169156,0.12663569
6234-RAAPL,-1.5255803,Service quality,Price and plan fit,0.16264307,0.16264307,-0.29735976,-0.37746066,0.0035071922,0.04810164
6047-YHPVI,0.6214213,Billing and payment,Service quality,0.35248792,0.31042373,0.35248792,0.13700634,-0.16873382,0.007927485
6572-ADKRS,0.55760217,Service quality,Protection and support,0.31418842,0.31418842,-0.110780515,0.14215207,-0.2396066,-0.3026513
5380-WJKOV,0.4461214,Billing and payment,Service quality,0.34179878,0.30357435,0.34179878,0.077916324,0.17908356,0.12593773
8168-UQWWF,0.5449805,Price and plan fit,Service quality,0.45106456,0.3601557,-0.08689552,0.15089017,0.2530593,0.45106456
8865-TNMNX,-0.7469312,Protection and support,Price and plan fit,0.09444019,-0.18196476,-0.36983752,0.09444019,-0.28584847,-0.11627865
9489-DEDVP,-1.4780416,No actionable lever,Billing and payment,-0.01757354,-0.18061122,-0.09578336,-0.17410608,-0.01757354,-0.24472818
9867-JCZSP,-0.7351818,Protection and support,Billing and payment,0.057491507,-0.5949917,-0.31587473,0.057491507,-0.33532557,-0.6261308
4671-VJLCL,-1.4635496,No actionable lever,Billing and payment,-0.025468603,-0.18016991,-0.13453294,-0.35482025,-0.025468603,-0.24714842
4080-IIARD,0.5030575,Billing and payment,Engagement and bundling,0.36790815,-0.3997171,0.36790815,-0.34943908,0.05978126,-0.015183512
3714-NTNFO,0.51902694,Billing and payment,Service quality,0.3535025,0.30888748,0.3535025,0.16066703,0.028946936,-0.2004013
5948-UJZLF,0.5799198,Protection and support,Price and plan fit,0.09996859,-0.21891937,-0.36794335,0.09996859,-0.17115137,0.07526759
7760-OYPDY,0.6325988,Billing and payment,Service quality,0.33794105,0.287665,0.33794105,0.13612854,-0.05893236,-0.01190915
7639-LIAYI,-1.4968873,Engagement and bundling,Billing and payment,0.2349974,-0.19120131,-0.09960147,-0.324918,0.2349974,-0.26967907
2954-PIBKO,-1.4298705,No actionable lever,Engagement and bundling,-0.102221206,-0.17305633,-0.102221206,-0.31496832,-0.11271874,-0.34980607
8012-SOUDQ,0.5473032,Billing and payment,Service quality,0.33178774,0.30772194,0.33178774,0.095601775,0.06930252,-0.1102415
9420-LOJKX,0.510249,Service quality,Price and plan fit,0.31367978,0.31367978,-0.074811414,-0.20672761,0.0769109,0.13834736
6575-SUVOI,0.48159823,Engagement and bundling,Billing and payment,0.021437641,-0.4018118,-0.1587953,-0.32426742,0.021437641,-0.2056353
7495-OOKFY,0.6374737,Service quality,Protection and support,0.35651207,0.35651207,-0.091265626,0.09940494,-0.06806398,0.0501401
4667-QONEA,-0.46686614,Engagement and bundling,Billing and payment,0.045091484,-0.1717036,-0.08381651,-0.32256696,0.045091484,-0.15608737
1658-BYGOY,0.50948757,Billing and payment,Service quality,0.34908205,0.31509978,0.34908205,0.14957702,0.22890422,0.049705938
8769-KKTPH,-0.5558209,Engagement and bundling,Service quality,0.3015003,0.20319945,-0.08319356,-0.15322526,0.3015003,0.123374164
5067-XJQFU,-0.57238203,Billing and payment,Price and plan fit,0.25008005,0.20799403,0.25008005,-0.1557478,0.23176974,0.24220051
3957-SQXML,-1.4805064,Protection and support,Engagement and bundling,0.07571045,-0.5401875,-0.23475677,0.07571045,-0.07632793,-0.5242317
5954-BDFSG,-1.4012849,Price and plan fit,Engagement and bundling,0.53125995,0.1867989,-0.09022884,-0.020433107,0.23079519,0.53125995
0434-CSFON,0.47282606,Billing and payment,Service quality,0.35492575,0.30071813,0.35492575,0.16448587,0.19115475,0.09549843
1215-FIGMP,0.5524315,Service quality,Protection and support,0.28620863,0.28620863,-0.15642907,0.13763756,0.010855045,-0.16287719
0526-SXDJP,-1.4940569,No actionable lever,Service quality,-0.0062491596,-0.13673612,-0.30600676,-0.15947933,-0.0062491596,-0.28615254
0557-ASKVU,-0.728164,No actionable lever,Protection and support,-0.0030622184,-0.22445498,-0.0801264,-0.050846886,-0.290273,-0.0030622184
5698-BQJOH,0.5449081,Service quality,Price and plan fit,0.34423286,0.34423286,-0.036667176,0.13785519,0.20185265,0.31562635
5122-CYFXA,0.5433886,Billing and payment,Engagement and bundling,0.28405645,-0.3120152,0.28405645,-0.13254835,0.0078087747,-0.09214855
8627-ZYGSZ,-0.8646104,Billing and payment,Service quality,0.37872392,0.24064334,0.37872392,0.10066006,-0.19280776,-0.1655432
3410-YOQBQ,-1.5668027,Engagement and bundling,Protection and support,0.09293577,-0.18799901,-0.27440873,-0.113386914,0.09293577,-0.19357383
3170-NMYVV,-1.3341501,Protection and support,Engagement and bundling,0.06186283,-0.52413833,-0.27011868,0.06186283,-0.19484043,-0.49598244
7410-OIEDU,0.61947817,Service quality,Price and plan fit,0.3494858,0.3494858,-0.14850938,-0.23121789,-0.22383955,-0.032839432
2273-QCKXA,0.5867584,Price and plan fit,Protection and support,0.12581494,-0.23294634,-0.31764627,-0.1479594,-0.15705946,0.12581494
0731-EBJQB,-0.77057624,Billing and payment,Protection and support,0.32207325,-0.6282524,0.32207325,0.078104235,-0.3202212,-0.7307343
1891-QRQSA,-1.2711202,Price and plan fit,Engagement and bundling,0.524514,0.16942269,-0.08667089,-0.2537983,0.17576383,0.524514
8028-PNXHQ,-1.4482055,Protection and support,Billing and payment,0.087267324,-0.5103719,-0.09680586,0.087267324,-0.16621934,-0.51983947
5630-AHZIL,0.5160363,No actionable lever,Billing and payment,-0.03066382,-0.30098882,-0.068194255,-0.34929278,-0.03066382,-0.074338265
2673-CXQEU,-0.5236535,Price and plan fit,Engagement and bundling,0.2827308,0.19739595,0.06156396,-0.1876691,0.23751867,0.2827308
6416-JNVRK,-0.4942455,Protection and support,Engagement and bundling,0.12862009,-0.19063805,-0.24540667,0.12862009,0.052871726,-0.18103933
5590-ZSKRV,0.50852,No actionable lever,Price and plan fit,-0.19703564,-0.4052269,-0.32237333,-0.22866961,-0.19703564,-0.22689152
0191-ZHSKZ,0.44156218,Billing and payment,Engagement and bundling,0.33315894,-0.3211928,0.33315894,-0.22505446,0.05758048,-0.15220815
3887-PBQAO,-0.69478804,Protection and support,Billing and payment,0.09666497,-0.54406774,-0.07063692,0.09666497,-0.19659533,-0.4016189
5919-TMRGD,0.650877,Billing and payment,Service quality,0.3171463,0.29141456,0.3171463,0.14986537,-0.06291318,0.2380981
8108-UXRQN,0.4711007,Engagement and bundling,Billing and payment,0.22932673,-0.37551916,0.017876808,-0.11024747,0.22932673,-0.071143575
9191-MYQKX,0.62895167,Service quality,Protection and support,0.36220366,0.36220366,-0.07203477,0.12573501,-0.17338389,-0.028653812
9919-YLNNG,0.43549863,Service quality,Price and plan fit,0.3000143,0.3000143,-0.098299116,-0.14028934,0.0423344,0.18071093
0318-ZOPWS,-1.4760418,Protection and support,Billing and payment,0.07654836,-0.5036727,-0.07844909,0.07654836,-0.22395998,-0.46242437
4445-ZJNMU,0.54834384,Price and plan fit,Service quality,0.46008062,0.35245076,-0.06604816,0.09109429,0.24149355,0.46008062
4808-YNLEU,-0.69715345,No actionable lever,Protection and support,-0.10464613,-0.28318867,-0.10464613,-0.14463533,-0.18181974,-0.18466112
1862-QRWPE,-1.4535115,Protection and support,Billing and payment,0.07423293,-0.53322256,-0.19973314,0.07423293,-0.24384531,-0.7203326
2796-NNUFI,-1.5004146,Protection and support,Billing and payment,0.0808697,-0.5260485,-0.13825817,0.0808697,-0.2231847,-0.63530016
3016-KSVCP,0.49743485,Engagement and bundling,Protection and support,0.14485584,-0.3068647,-0.3859495,0.1352874,0.14485584,-0.161306
4767-HZZHQ,0.5585361,Service quality,Protection and support,0.3206913,0.3206913,-0.3335228,0.11870225,-0.21880375,-0.071012914
2424-WVHPL,0.62149906,Service quality,Price and plan fit,0.28346193,0.28346193,0.013337902,-0.17558263,-0.15455958,0.22091213
7233-PAHHL,-1.5233886,Engagement and bundling,Billing and payment,0.20722544,-0.18490961,-0.16862759,-0.34276244,0.20722544,-0.2912562
6067-NGCEU,0.40655398,Service quality,Price and plan fit,0.2740239,0.2740239,-0.10132271,-0.22508048,0.11932867,0.15952344
9848-JQJTX,-1.5961517,Price and plan fit,Engagement and bundling,0.4554997,0.19042145,-0.083233126,0.15163687,0.26238754,0.4554997
8637-XJIVR,0.6019067,Billing and payment,Service quality,0.37452203,0.33389914,0.37452203,-0.1545977,-0.055537686,0.031079125
9803-FTJCG,-0.6871711,No actionable lever,Billing and payment,-0.100569785,-0.17590344,-0.10778673,-0.36065868,-0.20765841,-0.100569785
0278-YXOOG,0.5380156,Protection and support,Engagement and bundling,0.088994585,-0.88389397,-0.34440696,0.088994585,-0.22523697,-0.3839789
3212-KXOCR,-1.4427675,Protection and support,Billing and payment,0.07590948,-0.53166306,-0.22156495,0.07590948,-0.24622272,-0.5166788
4598-XLKNJ,0.5086209,Billing and payment,Service quality,0.34096682,0.315223,0.34096682,0.08263809,0.063264325,0.21138069
6380-ARCEH,0.60684955,Protection and support,Price and plan fit,0.0874657,-0.66232085,-0.32259062,0.0874657,-0.1699419,0.037128612
3679-XASPY,0.5847711,Protection and support,Price and plan fit,0.08399424,-0.7166661,-0.031901985,0.08399424,-0.15047225,0.06633908
7123-WQUHX,-0.7637248,Service quality,Price and plan fit,0.21900529,0.21900529,-0.31246245,-0.05511945,-0.06480748,0.047031254
5386-THSLQ,-0.7246318,Protection and support,Engagement and bundling,0.14297077,-0.15944494,-0.28482535,0.14297077,0.012900993,-0.11105414
3192-NQECA,-1.2952483,Price and plan fit,Engagement and bundling,0.67137,0.20533295,-0.06195139,-0.10811289,0.20974958,0.67137
6180-YBIQI,0.5714444,Protection and support,Engagement and bundling,0.13441542,-0.2535875,-0.40223193,0.13441542,0.024403885,-0.11746232
6728-DKUCO,-0.64354175,Billing and payment,Engagement and bundling,0.3427791,0.18506996,0.3427791,-0.2579043,0.22602317,0.056600824
9750-BOOHV,-0.72015214,No actionable lever,Price and plan fit,-0.09511943,-0.18739629,-0.32328522,-0.13369483,-0.09511943,-0.096695796
8597-CWYHH,-0.5755895,Engagement and bundling,Service quality,0.31765354,0.24104702,-0.31290746,0.13863842,0.31765354,-0.019867986
2848-YXSMW,-1.4222307,Protection and support,Engagement and bundling,0.11197205,-0.44664162,-0.2843203,0.11197205,-0.20308425,-0.59455615
0486-HECZI,0.49505982,Billing and payment,Service quality,0.36784834,0.27538505,0.36784834,-0.21299979,0.040347785,0.019246891
4549-ZDQYY,-0.6724593,No actionable lever,Service quality,-0.14220802,-0.19462861,-0.25065148,-0.2865168,-0.302499,-0.14220802
5712-AHQNN,0.54524344,Billing and payment,Service quality,0.37049118,0.30648702,0.37049118,0.09285805,-0.042979766,-0.044520408
4846-WHAFZ,0.5527014,Billing and payment,Service quality,0.33826768,0.31285566,0.33826768,0.14137089,-0.08812143,-0.178408
5256-SKJGO,-1.5027109,Billing and payment,Engagement and bundling,0.35980642,-0.17067651,0.35980642,-0.24603601,0.14384693,-0.24277523
3071-VBYPO,0.596299,Service quality,Price and plan fit,0.28048658,0.28048658,-0.0678808,-0.21652582,-0.053390954,-0.02821163
9560-BBZXK,-1.5064793,No actionable lever,Protection and support,-0.03249593,-0.17128849,-0.26696622,-0.12532696,-0.03249593,-0.15856925
5299-RULOA,0.5032812,Price and plan fit,Service quality,0.39570093,0.35091412,0.30573335,-0.20712404,0.2245925,0.39570093
8402-OOOHJ,-1.4758686,Protection and support,Engagement and bundling,0.06233106,-0.50843936,-0.30908617,0.06233106,-0.22086926,-0.52860963
9445-ZUEQE,0.5583987,Service quality,Engagement and bundling,0.32163402,0.32163402,-0.0727279,-0.10969795,-0.067924805,-0.13316506
1091-SOZGA,-0.5685412,Engagement and bundling,Service quality,0.314011,0.22227094,-0.06702381,0.16618028,0.314011,0.09820223
2928-HLDBA,0.48531374,Protection and support,Engagement and bundling,0.07146096,-0.9139997,-0.4144018,0.07146096,-0.17548734,-0.43244162
0404-SWRVG,0.63282454,Billing and payment,Service quality,0.34482306,0.29783356,0.34482306,0.14290594,-0.01457195,0.015747033
6497-TILVL,0.5154847,Price and plan fit,Protection and support,0.0044464655,-0.3417904,-0.3680078,-0.1621173,-0.16243118,0.0044464655
7219-TLZHO,0.5054911,Protection and support,Engagement and bundling,0.07655272,-0.8891779,-0.39012593,0.07655272,-0.17255272,-0.44386274
4622-YNKIJ,-1.6044862,Billing and payment,Service quality,0.4237285,0.23555471,0.4237285,-0.2879921,-0.04708734,-0.20162393
4412-YLTKF,0.5585939,Billing and payment,Service quality,0.34392628,0.31688368,0.34392628,0.13795006,-0.08232646,-0.18581799
6734-PSBAW,-1.4918873,Protection and support,Billing and payment,0.11982413,-0.510288,-0.11340076,0.11982413,-0.16655585,-0.62434745
3930-ZGWVE,0.60684955,Protection and support,Price and plan fit,0.087211706,-0.6557077,-0.32259062,0.087211706,-0.1699419,0.054831333
2639-UGMAZ,-0.54719466,Engagement and bundling,Billing and payment,0.40265152,-0.1697951,0.35826677,-0.1611899,0.40265152,-0.14155497
2876-GZYZC,0.5825893,Service quality,Billing and payment,0.35145092,0.35145092,0.3406219,0.15495811,0.11074132,-0.00018096715
6207-WIOLX,0.45076442,Engagement and bundling,Billing and payment,0.21521644,-0.32326484,-0.14236495,-0.16217995,0.21521644,-0.18050614
8587-XYZSF,-1.4254775,No actionable lever,Service quality,-0.053702813,-0.16174892,-0.24612273,-0.053702813,-0.21403114,-0.17454584
3091-FYHKI,0.58367896,Billing and payment,Protection and support,0.32200268,-0.22358494,0.32200268,0.16687267,0.14720072,0.09268147
2372-HWUHI,0.5541974,Protection and support,Price and plan fit,0.12317909,-0.22029525,-0.050014757,0.12317909,-0.174589,-0.018773504
7799-LGRDP,-1.4531848,Protection and support,Billing and payment,0.090693735,-0.5039201,-0.07947422,0.090693735,-0.08966392,-0.28430945
7850-VWJUU,0.56091243,Service quality,Billing and payment,0.32611474,0.32611474,-0.14731899,-0.16902414,-0.23759948,-0.27277496
3774-VBNXY,-1.4496197,Protection and support,Engagement and bundling,0.0686263,-0.4775584,-0.31579244,0.0686263,-0.23039551,-0.49506894
6217-KDYWC,-1.490724,Protection and support,Billing and payment,0.09321847,-0.5517832,-0.15126081,0.09321847,-0.265316,-0.722445
0390-DCFDQ,0.66588426,Service quality,Price and plan fit,0.29281628,0.29281628,-0.105905816,0.14052399,-0.15835187,0.23296809
3146-MSEGF,-1.5442574,Engagement and bundling,Billing and payment,0.06270662,-0.15230837,-0.12560622,-0.43084958,0.06270662,-0.27674913
4080-OGPJL,0.47696722,Engagement and bundling,Billing and payment,0.0338697,-0.40808934,0.011744565,-0.256297,0.0338697,0.005512599
1095-WGNGG,-1.545356,Engagement and bundling,Service quality,0.21633127,0.20019102,-0.092674285,0.1200105,0.21633127,0.1002946
2636-SJDOU,-0.8234131,Service quality,Billing and payment,0.19591744,0.19591744,-0.10274278,-0.20686913,-0.27443403,-0.25402975
1131-QQZEB,-1.4306934,Protection and support,Engagement and bundling,0.09408753,-0.4906715,-0.24581423,0.09408753,-0.14539766,-0.56283414
5716-EZXZN,-1.5047321,Service quality,Price and plan fit,0.1916774,0.1916774,-0.09404552,-0.355969,0.021499751,0.08164075
6837-BJYDQ,-0.8563852,Protection and support,Billing and payment,0.07974838,-0.63886386,-0.2990374,0.07974838,-0.35948616,-0.68111515
2135-RXIHG,0.5958954,Billing and payment,Protection and support,0.32952744,-0.23600428,0.32952744,0.13932604,-0.16951191,0.110669866
6440-DKQGE,-0.69161284,Protection and support,Price and plan fit,0.09186786,-0.27170593,-0.27266726,0.09186786,-0.1832521,-0.086898655
3466-BYAVD,0.4721214,No actionable lever,Price and plan fit,-0.05817116,-0.35070512,-0.12188424,-0.11617294,-0.05817116,-0.0872895
3780-YVMFA,0.5010948,Billing and payment,Engagement and bundling,0.29342526,-0.40504298,0.29342526,-0.08362824,0.01712373,-0.09480899
3874-EQOEP,0.54657984,Service quality,Price and plan fit,0.3608823,0.3608823,-0.3804285,0.13099323,0.2027101,0.30083942
1679-JRFBR,-0.516459,Price and plan fit,Engagement and bundling,0.28708267,0.21195582,-0.059105173,-0.25392613,0.25901887,0.28708267
9073-ZZIAY,-1.460531,Billing and payment,Engagement and bundling,0.17320356,-0.18728869,0.17320356,-0.33370703,0.0065932814,-0.20493716
3077-RSNTJ,0.49504068,Protection and support,Engagement and bundling,0.0759916,-0.8868649,-0.42188013,0.0759916,-0.16094713,-0.39985245
6551-GNYDG,0.573571,Service quality,Protection and support,0.34581083,0.34581083,-0.07990469,0.13378263,-0.039922208,0.040227346
9167-APMXZ,0.5786891,Service quality,Protection and support,0.31733197,0.31733197,-0.13759474,0.13461491,0.035184074,-0.07396315
2749-CTKAJ,-0.67789507,Protection and support,Engagement and bundling,0.07001675,-0.5737606,-0.37149212,0.07001675,-0.30159178,-0.49298537
6371-NZYEG,-1.5355375,No actionable lever,Engagement and bundling,-0.017589524,-0.1900948,-0.35621005,-0.11362912,-0.072671406,-0.017589524
7554-NEWDD,-1.5289497,Protection and support,Engagement and bundling,0.076750204,-0.5512518,-0.2695839,0.076750204,-0.111334935,-0.33377245
8992-VONJD,0.50351393,Billing and payment,Engagement and bundling,0.3374327,-0.3968542,0.3374327,-0.2508532,-0.19672436,-0.253077
0867-MKZVY,0.54233336,Service quality,Billing and payment,0.29349482,0.29349482,0.0653488,-0.1422643,-0.07022798,-0.05446661
4482-EWFMI,0.6384141,Billing and payment,Service quality,0.33280864,0.28017288,0.33280864,0.13738945,-0.16248961,0.011705168
4648-YPBTM,-1.507936,Engagement and bundling,Billing and payment,0.111834735,-0.17557365,-0.07604903,-0.13333821,0.111834735,-0.35277057
2907-ILJBN,-0.76775825,Protection and support,Billing and payment,0.06668534,-0.6344737,-0.3116454,0.06668534,-0.34883317,-0.6712543
6345-FZOQH,-1.4458566,Protection and support,Engagement and bundling,0.06710071,-0.48436946,-0.32105845,0.06710071,-0.25402433,-0.5309975
3376-BMGFE,0.641034,Service quality,Protection and support,0.3058332,0.3058332,-0.09698008,0.13108604,-0.16498125,0.021008417
5997-OPVFA,-1.5508657,Engagement and bundling,Billing and payment,0.11786692,-0.16736786,-0.14081705,-0.4323399,0.11786692,-0.2897682
3445-HXXGF,0.46559244,Billing and payment,Engagement and bundling,0.32425356,-0.2626143,0.32425356,0.15629944,0.18224175,-0.0841914
1159-WFSGR,0.48022828,Protection and support,Billing and payment,0.07148202,-0.85948193,0.005157314,0.07148202,-0.16491951,-0.22983699
7654-YWJUF,-0.8286104,Service quality,Billing and payment,0.21037167,0.21037167,-0.11442011,-0.31210506,-0.32392544,-0.22181717
1875-QIVME,0.50803334,Price and plan fit,Service quality,0.53436404,0.29233444,0.2913682,-0.013865623,0.21763958,0.53436404
6727-IOTLZ,-1.6412652,Engagement and bundling,Protection and support,0.0545608,-0.20022398,-0.29721856,-0.10188939,0.0545608,-0.12552533
0691-JVSYA,-0.5706046,Service quality,Engagement and bundling,0.2239778,0.2239778,-0.075157344,0.15175748,0.22035117,0.085413754
5918-VUKWP,-0.73573923,Protection and support,Billing and payment,0.06769377,-0.528752,-0.2577127,0.06769377,-0.32938167,-0.44996616
1744-JHKYS,0.45012438,Protection and support,Billing and payment,0.06677821,-0.8337026,-0.013502486,0.06677821,-0.10418447,-0.28019053
2656-FMOKZ,0.6001957,Service quality,Protection and support,0.32641596,0.32641596,-0.13709071,0.12806158,-0.047114603,-0.012156658
2070-FNEXE,0.6055621,Service quality,Price and plan fit,0.3435694,0.3435694,-0.3520224,-0.16377984,-0.16039154,-0.12976637
5947-SGKCL,0.4757337,Service quality,Price and plan fit,0.32060546,0.32060546,-0.06531853,0.08062048,0.17663749,0.2684309
3712-PKXZA,-0.7523351,Protection and support,Billing and payment,0.07435508,-0.51614517,-0.094660275,0.07435508,-0.3491329,-0.56684583
6317-YPKDH,0.6064449,Protection and support,Price and plan fit,0.117005795,-0.22407733,-0.31450933,0.117005795,0.02752398,0.08672161
6582-OIVSP,0.5996593,Protection and support,Price and plan fit,0.12310557,-0.22829825,-0.34148687,0.12310557,-0.16716368,0.116865024
9367-WXLCH,0.5855571,Service quality,Protection and support,0.35635674,0.35635674,-0.34649447,0.12485158,0.06003923,0.067904085
5524-KHNJP,-0.47685692,Engagement and bundling,Price and plan fit,0.21678978,-0.209562,-0.2641204,-0.12347755,0.21678978,-0.002996271
1918-ZBFQJ,0.61495614,Service quality,Billing and payment,0.35364974,0.35364974,0.3510106,0.114035845,-0.22563526,0.024338014
1024-GUALD,0.6375513,Billing and payment,Protection and support,0.3390631,-0.23638904,0.3390631,0.14836273,0.045805857,0.014056042
4827-USJHP,0.500656,Protection and support,Price and plan fit,0.10355809,-0.30578157,-0.16977407,0.10355809,-0.18755175,0.014184464
8167-GJLRN,0.5517597,No actionable lever,Billing and payment,-0.0017494485,-0.23040028,-0.0154600525,-0.122135706,-0.032465152,-0.0017494485
0956-SYCWG,-0.72275037,Billing and payment,Protection and support,0.07224014,-0.62628925,0.07224014,0.068709955,-0.27281415,-0.39410096
8017-UVSZU,0.4824947,Protection and support,Engagement and bundling,0.124526076,-0.30376804,-0.31882033,0.124526076,-0.08004169,-0.15877113
7100-FQPRV,-0.4757279,Engagement and bundling,Billing and payment,0.20637631,-0.20506139,-0.07902397,-0.31346786,0.20637631,-0.16521817
2472-OVKUP,0.60744244,Service quality,Billing and payment,0.34893423,0.34893423,0.30815557,0.10435845,-0.08857381,0.09893494
2984-RGEYA,-1.4481136,Protection and support,Engagement and bundling,0.06848785,-0.48916405,-0.22698027,0.06848785,-0.22662762,-0.60874325
9680-NIAUV,-1.4850957,Price and plan fit,Service quality,0.45168564,0.16958566,-0.24106924,-0.23848875,0.15233636,0.45168564
2146-EGVDT,-1.4206741,Protection and support,Billing and payment,0.067370646,-0.5221373,-0.23693539,0.067370646,-0.24709821,-0.9115729
2604-IJPDU,0.52350414,Billing and payment,Service quality,0.36209738,0.3009098,0.36209738,-0.3536403,-0.026289161,0.14605731
9178-JHUVJ,-1.5243026,Protection and support,Billing and payment,0.09012484,-0.56071687,-0.06453151,0.09012484,-0.09245904,-0.5440094
6168-YBYNP,0.41120386,Billing and payment,Service quality,0.29294845,0.28427878,0.29294845,-0.16688882,0.14519836,0.11303286
7255-SSFBC,-1.5240488,Price and plan fit,Service quality,0.23148263,0.17870878,-0.073539115,-0.09842843,0.1570676,0.23148263
3645-DEYGF,0.61100066,Protection and support,Price and plan fit,0.08862017,-0.66001725,-0.31403092,0.08862017,-0.1558716,0.034592003
9323-HGFWY,-0.5151039,Price and plan fit,Service quality,0.30210125,0.2233862,-0.074436255,-0.2726921,0.21907127,0.30210125
