customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ServiceCount,ChurnFlag,Cluster,CustomerSegment,TenureBand,ARPU,ChargeRatio,ContractRiskFlag,ValueTier,AutoPayFlag
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,2,1,3,New High-Spend,7-12 months,52.835,1.044761994889751,1,Medium,1
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,3,0,3,New High-Spend,13-24 months,88.70952380952382,1.015110848676794,1,High,0
8779-QRDMV,Male,1,No,No,1,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,2,1,0,New Budget,0-6 months,39.65,1.0,1,Medium,0
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.8,202.25,No,0,0,0,New Budget,7-12 months,16.854166666666668,1.1747836835599506,0,Low,1
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,Yes,0,1,0,New Budget,0-6 months,20.15,1.0,1,Low,0
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,2,0,2,Established Budget,49-72 months,60.43275862068965,0.9911842743431,0,Medium,1
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,3,0,1,Established High-Value,49-72 months,60.61836734693878,0.9832003501329832,1,Medium,1
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,2,0,3,New High-Spend,25-48 months,51.02,1.083888671109369,1,Medium,1
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,3,1,1,Established High-Value,25-48 months,101.04574468085106,0.983218049545708,1,Premium,0
8665-UTDHZ,Male,0,Yes,Yes,1,No,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,1,0,New Budget,0-6 months,30.2,1.0,1,Low,0
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,6,0,1,Established High-Value,49-72 months,88.46458333333334,1.0201822763346913,0,High,1
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,2,1,3,New High-Spend,13-24 months,64.3,1.006220839813375,1,Medium,0
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,4,0,1,Established High-Value,49-72 months,95.30915492957746,1.0109207249942735,0,Premium,1
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,3,0,3,New High-Spend,0-6 months,90.825,1.0514726121662537,1,Premium,1
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,4,0,3,New High-Spend,25-48 months,69.42407407407407,0.9528394995865456,0,Medium,0
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,0,0,New Budget,0-6 months,20.2,1.0,1,Low,1
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,0,0,New Budget,0-6 months,45.25,1.0,1,Medium,1
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,4,0,1,Established High-Value,49-72 months,100.71805555555557,0.9918777665926612,0,Premium,1
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0,1,3,New High-Spend,0-6 months,63.38,1.0997159987377725,1,Medium,0
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,1,0,3,New High-Spend,25-48 months,77.13695652173914,0.96970380182059,1,High,1
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,4,1,1,Established High-Value,25-48 months,104.38970588235294,1.0187786152003944,1,Premium,0
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,3,1,3,New High-Spend,7-12 months,100.4909090909091,0.9737199203908086,1,Premium,1
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,1,0,0,New Budget,7-12 months,47.57,1.0416228715577045,0,Medium,0
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,3,0,1,Established High-Value,49-72 months,69.605,0.994181452481862,0,Medium,1
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.75,418.25,No,0,0,0,New Budget,13-24 months,24.602941176470587,0.8433950986252242,0,Low,0
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,5,0,1,Established High-Value,49-72 months,77.16587301587302,1.0347838607822768,0,High,1
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,4,0,3,New High-Spend,13-24 months,75.49615384615385,1.0093229405471498,1,High,0
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,1,0,3,New High-Spend,49-72 months,79.72857142857143,1.0598459057516574,1,High,0
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,1,0,0,New Budget,0-6 months,48.5,1.0154639175257731,1,Medium,0
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,1,3,New High-Spend,0-6 months,72.075,1.1189732917100244,1,High,0
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,4,0,1,Established High-Value,49-72 months,81.11153846153846,0.9832139978187682,0,High,1
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,3,0,1,Established High-Value,49-72 months,61.6536231884058,1.0404903504854142,0,Medium,1
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,2,0,3,New High-Spend,25-48 months,89.27325581395348,1.0109410615434713,1,High,0
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,4,1,3,New High-Spend,13-24 months,95.09333333333332,1.0421340437464943,1,Premium,1
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,3,0,3,New High-Spend,25-48 months,70.10600000000001,0.9913559467092689,1,Medium,1
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,1,3,New High-Spend,7-12 months,79.1625,1.0187904626559294,1,High,1
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,5,0,1,Established High-Value,49-72 months,74.27250000000001,1.0077754215894172,0,High,1
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,2,1,3,New High-Spend,13-24 months,97.36388888888888,0.980342928875068,1,Premium,0
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,3,0,1,Established High-Value,49-72 months,100.17777777777778,0.994731588287489,0,Premium,1
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,5,0,1,Established High-Value,49-72 months,107.21742424242424,1.011496039624948,0,Premium,0
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No,0,0,2,Established Budget,25-48 months,26.302941176470583,0.9485631219948564,0,Low,1
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,4,0,1,Established High-Value,49-72 months,109.07916666666668,0.9855227472401544,0,Premium,1
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,3,0,1,Established High-Value,25-48 months,100.15106382978723,1.0034840984895157,1,Premium,0
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,2,0,1,Established High-Value,49-72 months,90.845,0.9895976663547802,1,Premium,1
0526-SXDJP,Male,0,Yes,No,72,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,3,0,2,Established Budget,49-72 months,41.138888888888886,1.023362592842674,0,Medium,1
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,2,0,3,New High-Spend,13-24 months,53.172222222222224,1.0230905861456483,0,Medium,1
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,2,1,3,New High-Spend,7-12 months,95.25,0.9910761154855644,1,Premium,0
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,4,0,3,New High-Spend,0-6 months,81.36666666666666,0.925440393281442,1,High,0
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,1,0,3,New High-Spend,25-48 months,77.66702127659575,1.0158751900502692,0,High,0
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,5,0,1,Established High-Value,25-48 months,80.55483870967741,0.9831811629024508,0,High,0
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,0,2,Established Budget,49-72 months,18.618,1.0822859598238264,0,Low,1
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,2,0,3,New High-Spend,7-12 months,88.735,0.8998704006310925,1,High,0
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,1,0,0,New Budget,0-6 months,49.05,1.0,1,Medium,0
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65,No,0,0,2,Established Budget,49-72 months,20.974038461538463,0.9726309998624671,0,Low,0
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,5,0,1,Established High-Value,49-72 months,110.921875,1.006113537117904,0,Premium,1
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,0,2,Established Budget,49-72 months,22.97741935483871,1.0553839674294538,0,Low,1
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,3,0,3,New High-Spend,0-6 months,59.13333333333333,1.0907553551296505,1,Medium,1
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,5,0,1,Established High-Value,49-72 months,109.63392857142856,1.0078996660965878,0,Premium,0
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,1,0,2,Established Budget,25-48 months,58.45326086956521,0.9520426948323634,0,Medium,1
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,2,0,3,New High-Spend,7-12 months,60.28125,0.9065837221358216,1,Medium,0
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,4,0,1,Established High-Value,25-48 months,70.37666666666668,1.0621418083645149,1,High,0
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,0,2,Established Budget,25-48 months,27.035555555555558,0.9579976985040276,0,Low,1
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,1,3,New High-Spend,0-6 months,79.35,1.0,1,High,0
8108-UXRQN,Female,0,Yes,Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,3,0,3,New High-Spend,7-12 months,51.39545454545455,0.9835500132661182,1,Medium,0
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,1,3,New High-Spend,7-12 months,70.98571428571428,1.058663715033206,1,High,1
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,5,0,1,Established High-Value,25-48 months,103.03571428571428,1.0074176776429808,1,Premium,1
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,0,2,Established Budget,49-72 months,19.864285714285717,1.014383315354189,0,Low,1
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,3,0,3,New High-Spend,7-12 months,102.08333333333331,0.9727346938775512,1,Premium,1
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,2,0,3,New High-Spend,25-48 months,63.29857142857142,0.9818547022049696,0,Medium,1
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,0,2,Established Budget,25-48 months,22.02083333333333,0.937748344370861,0,Low,1
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.95,927.1,No,0,0,2,Established Budget,25-48 months,20.15434782608696,0.9898608564340416,0,Low,0
3016-KSVCP,Male,0,Yes,No,29,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,1,0,0,New Budget,25-48 months,34.80172413793103,0.969779539261828,1,Low,0
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,2,0,3,New High-Spend,25-48 months,85.67333333333333,0.957707571395222,1,High,1
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,1,0,3,New High-Spend,0-6 months,74.7,1.0,1,High,0
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,5,0,1,Established High-Value,49-72 months,86.57954545454545,0.9702060637878986,0,High,0
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,5,0,1,Established High-Value,49-72 months,109.33846153846154,1.015653580976502,1,Premium,1
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,4,0,1,Established High-Value,49-72 months,103.59791666666666,0.973957809640638,0,Premium,1
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,1,3,New High-Spend,7-12 months,77.27916666666667,1.0216207472906669,1,High,0
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,3,0,1,Established High-Value,49-72 months,66.8830985915493,0.9995051277191652,0,Medium,1
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,Yes,0,1,0,New Budget,0-6 months,22.77,0.9244620114185332,1,Low,0
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,0,2,Established Budget,49-72 months,21.29230769230769,0.986271676300578,0,Low,1
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,4,1,1,Established High-Value,25-48 months,100.58,0.979319944322927,1,Premium,0
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No,0,0,0,New Budget,0-6 months,20.2,1.0,1,Low,0
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.45,19.45,No,0,0,0,New Budget,0-6 months,19.45,1.0,1,Low,0
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,3,0,1,Established High-Value,25-48 months,94.88421052631578,1.001220323940537,0,Premium,1
5386-THSLQ,Female,1,Yes,No,66,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,3,0,2,Established Budget,49-72 months,45.86742424242424,0.9930795276240812,0,Medium,1
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,5,1,1,Established High-Value,49-72 months,111.93897058823528,0.9826783239291368,0,Premium,1
6180-YBIQI,Male,0,No,No,5,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0,0,0,New Budget,0-6 months,20.04,1.2125748502994014,1,Low,0
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,4,0,1,Established High-Value,49-72 months,101.43125,1.0268038696161192,0,Premium,0
9750-BOOHV,Female,0,No,No,32,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,1,0,2,Established Budget,25-48 months,28.9890625,1.0400474316822077,0,Low,0
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,2,0,3,New High-Spend,25-48 months,91.19302325581396,1.0346186213755642,0,Premium,0
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),19.4,1363.25,No,0,0,2,Established Budget,49-72 months,18.93402777777778,1.0246103062534384,0,Low,1
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,3,1,1,Established High-Value,49-72 months,95.25272727272728,1.0157189486342553,1,Premium,0
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,3,0,1,Established High-Value,49-72 months,58.50480769230769,0.9905168871723232,0,Medium,1
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,3,0,1,Established High-Value,25-48 months,91.95581395348836,0.9966743380288816,1,Premium,0
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,0,1,3,New High-Spend,25-48 months,77.51756756756757,0.9868730714920768,1,High,0
